Premium Price,Conversion,Customer Age,Customer Gender,Location,Vehicle Make,Vehicle Age,Coverage Type,Claims History,Discounts Offered,Policy Duration,Customer Loyalty,Marketing Channel,Competitor Pricing,Sales Campaigns
1226,0.0,60,Other,Suburban,Chevrolet,17,Liability,0,303,12,0,Television,1281,4
960,0.0,46,Other,Urban,BMW,11,Comprehensive,2,161,12,7,Online,917,3
1394,0.0,67,Male,Urban,Honda,2,Third-Party,4,212,12,5,Social Media,1476,2
1230,0.0,19,Other,Rural,BMW,16,Third-Party,0,483,12,5,Social Media,1202,3
1195,0.0,26,Other,Urban,Chevrolet,13,Liability,1,91,6,9,Social Media,1382,2
1144,0.0,34,Male,Rural,Kia,5,Liability,0,189,12,3,Referral,1218,1
221,0.0,63,Female,Suburban,Mercedes,3,Comprehensive,3,441,6,8,Social Media,159,2
566,0.0,53,Other,Rural,Ford,7,Liability,0,161,6,9,Agent,402,0
1338,0.0,34,Other,Urban,Honda,19,Liability,0,56,12,8,Social Media,1472,0
430,0.0,66,Female,Rural,Kia,2,Comprehensive,1,232,12,5,Online,569,3
187,0.0,29,Male,Rural,Toyota,7,Collision,1,28,6,8,Agent,343,0
1496,0.0,37,Other,Suburban,Nissan,12,Liability,0,345,12,0,Television,1553,3
1223,0.0,67,Male,Urban,Hyundai,18,Third-Party,4,204,6,6,Agent,1252,4
971,0.0,20,Female,Rural,Ford,14,Collision,1,123,6,8,Online,948,4
230,0.0,60,Female,Suburban,Nissan,6,Liability,3,435,12,4,Television,56,3
1432,0.0,67,Male,Suburban,Honda,2,Collision,4,353,6,5,Online,1409,3
869,0.0,21,Female,Suburban,BMW,18,Liability,0,466,6,5,Online,874,3
443,0.0,34,Female,Suburban,Mercedes,9,Third-Party,3,7,12,4,Referral,522,2
905,0.0,67,Other,Suburban,Volkswagen,15,Liability,3,348,6,9,Referral,803,0
485,0.0,54,Male,Rural,Chevrolet,13,Third-Party,4,106,12,8,Online,568,2
1315,0.0,63,Other,Rural,Ford,7,Liability,0,359,12,4,Social Media,1426,2
1055,0.0,59,Male,Urban,Honda,10,Liability,3,399,6,2,Referral,1144,2
376,0.0,32,Other,Rural,Volkswagen,18,Collision,1,91,6,5,Online,256,4
1284,0.0,50,Female,Urban,Nissan,1,Comprehensive,1,157,12,5,Agent,1244,4
559,0.0,33,Male,Urban,Mercedes,4,Third-Party,4,342,6,0,Online,381,2
1437,0.0,28,Male,Urban,BMW,10,Collision,1,348,12,3,Online,1372,1
121,0.0,37,Male,Rural,BMW,6,Comprehensive,2,83,6,9,Television,175,2
352,0.0,55,Male,Suburban,Toyota,7,Collision,0,336,6,9,Referral,471,1
847,0.0,41,Female,Urban,Mercedes,16,Third-Party,3,409,12,0,Television,770,1
956,0.0,33,Female,Suburban,Hyundai,11,Comprehensive,3,440,6,5,Social Media,1030,0
574,0.0,47,Female,Urban,Volkswagen,17,Comprehensive,4,494,12,1,Online,769,3
1182,0.0,51,Other,Rural,Kia,6,Comprehensive,4,38,12,4,Referral,985,2
610,0.0,18,Female,Urban,Toyota,8,Third-Party,3,32,12,2,Referral,632,2
799,0.0,41,Other,Rural,Mercedes,18,Third-Party,1,333,6,5,Referral,770,2
1075,0.0,41,Other,Suburban,Honda,13,Collision,4,286,12,8,Online,1250,3
289,0.0,26,Female,Rural,Mercedes,18,Liability,2,207,6,2,Online,207,1
1057,0.0,39,Female,Suburban,Hyundai,19,Liability,4,276,6,8,Agent,1005,2
786,0.0,29,Female,Rural,Mercedes,17,Liability,1,482,6,4,Television,597,2
1057,0.0,34,Other,Urban,Volkswagen,14,Liability,0,177,12,1,Television,1055,3
662,0.0,42,Male,Urban,Mercedes,3,Collision,2,383,12,9,Online,607,4
1367,0.0,45,Female,Rural,Mercedes,12,Third-Party,4,466,6,9,Social Media,1461,3
931,0.0,32,Other,Suburban,Nissan,4,Collision,0,389,6,9,Referral,1061,3
1254,0.0,47,Other,Suburban,Kia,11,Comprehensive,0,187,6,9,Online,1086,4
746,0.0,68,Female,Suburban,Chevrolet,16,Third-Party,3,214,12,8,Online,704,0
120,0.0,44,Other,Rural,Volkswagen,9,Third-Party,1,345,12,2,Online,164,3
940,0.0,39,Female,Rural,Chevrolet,11,Liability,3,200,12,8,Referral,1022,3
266,0.0,27,Other,Rural,Nissan,5,Collision,1,396,6,5,Referral,436,2
1397,0.0,48,Male,Rural,Toyota,19,Liability,0,313,6,0,Online,1416,1
487,0.0,44,Other,Suburban,Hyundai,19,Third-Party,4,171,6,0,Agent,455,1
700,0.0,29,Female,Suburban,Kia,11,Liability,1,206,6,2,Television,782,3
415,0.0,63,Male,Rural,Hyundai,12,Comprehensive,1,287,12,4,Agent,480,1
113,0.0,48,Female,Rural,Nissan,16,Third-Party,0,58,12,5,Agent,201,2
341,0.0,49,Other,Suburban,Volkswagen,19,Comprehensive,2,358,12,4,Online,345,3
876,0.0,49,Male,Suburban,Ford,9,Third-Party,0,235,6,7,Referral,834,3
1469,0.0,58,Male,Urban,Kia,18,Liability,0,80,6,5,Television,1423,3
664,0.0,62,Other,Rural,Kia,4,Third-Party,1,428,6,1,Agent,732,2
997,0.0,52,Male,Urban,Nissan,4,Third-Party,0,438,12,4,Social Media,972,1
1463,0.0,63,Male,Suburban,Toyota,7,Collision,3,476,6,6,Referral,1320,3
191,0.0,38,Male,Suburban,Honda,16,Collision,0,176,6,1,Referral,243,4
1490,0.0,27,Female,Rural,Mercedes,2,Comprehensive,4,316,6,4,Television,1592,3
1055,0.0,33,Female,Urban,BMW,15,Collision,0,39,6,4,Television,952,1
608,0.0,24,Male,Suburban,BMW,18,Third-Party,0,81,6,7,Television,454,0
875,0.0,21,Other,Urban,Hyundai,5,Collision,4,161,12,8,Online,974,0
134,0.0,44,Other,Urban,Mercedes,9,Liability,2,112,6,2,Referral,137,0
305,0.0,69,Female,Urban,Honda,15,Collision,2,88,6,3,Online,493,4
1204,0.0,42,Other,Urban,Ford,12,Comprehensive,2,11,6,8,Online,1105,0
1125,0.0,48,Male,Urban,Hyundai,2,Third-Party,3,492,6,8,Online,930,2
1121,0.0,28,Other,Rural,Kia,7,Liability,4,398,12,2,Referral,1266,2
665,0.0,65,Female,Rural,Chevrolet,19,Liability,3,362,6,1,Social Media,729,0
1229,0.0,37,Female,Urban,BMW,7,Comprehensive,3,471,12,6,Agent,1105,0
802,0.0,53,Male,Rural,Hyundai,6,Collision,3,264,12,3,Referral,636,1
501,0.0,34,Female,Suburban,BMW,10,Third-Party,4,231,12,2,Referral,411,2
829,0.0,62,Female,Urban,Nissan,19,Comprehensive,1,403,12,1,Television,819,1
261,0.0,28,Female,Rural,Ford,2,Liability,1,88,12,9,Agent,286,1
301,0.0,47,Other,Rural,Ford,6,Liability,2,366,12,7,Television,321,0
1095,0.0,52,Female,Suburban,Chevrolet,10,Liability,3,215,6,6,Social Media,921,1
369,0.0,58,Other,Suburban,Volkswagen,16,Comprehensive,2,48,6,4,Online,470,0
915,0.0,55,Female,Suburban,Ford,17,Liability,3,473,12,6,Television,1110,0
1394,0.0,39,Female,Suburban,Kia,8,Third-Party,2,269,12,0,Social Media,1488,3
555,0.0,60,Other,Urban,Nissan,12,Liability,0,388,12,8,Agent,740,2
1375,0.0,65,Other,Rural,Toyota,14,Comprehensive,4,381,6,7,Online,1274,4
1116,0.0,68,Male,Rural,Hyundai,18,Comprehensive,3,303,6,3,Social Media,1299,2
395,0.0,44,Male,Suburban,Kia,14,Liability,3,312,12,0,Television,503,4
819,0.0,54,Other,Rural,Mercedes,6,Comprehensive,3,348,12,3,Social Media,700,3
437,0.0,63,Female,Rural,Toyota,2,Collision,4,59,6,0,Social Media,242,3
978,0.0,66,Male,Rural,Kia,7,Comprehensive,0,455,6,5,Online,999,2
1176,0.0,52,Other,Suburban,Mercedes,12,Collision,1,336,12,7,Referral,997,3
891,0.0,21,Other,Rural,BMW,15,Comprehensive,4,245,12,4,Social Media,811,3
316,0.0,33,Female,Rural,BMW,2,Comprehensive,0,298,12,8,Online,254,0
